epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
2.0,100.0,34.0,5952.0,500.0,14.705882,-200.0,-200.0,0.026391154,0.01,0.55,,,
4.0,200.0,66.0,11904.0,1000.0,15.151515,-200.0,-200.0,0.20126212,0.01,0.1,,,
7.0,100.0,104.0,17856.0,1500.0,14.423077,-200.0,-200.0,0.276089,0.0099,0.1,,,
9.0,200.0,144.0,23808.0,2000.0,13.888889,-200.0,-200.0,0.79293126,0.0099,0.1,,,
12.0,100.0,180.0,29952.0,2500.0,13.888889,-200.0,-200.0,0.99116087,0.009801,0.1,,,
14.0,200.0,212.0,35904.0,3000.0,14.150944,-200.0,-200.0,1.3909496,0.009801,0.1,,,
17.0,100.0,243.0,41856.0,3500.0,14.403293,-200.0,-200.0,2.6539373,0.00970299,0.1,,,
19.0,200.0,274.0,47808.0,4000.0,14.59854,-200.0,-200.0,1.947004,0.00970299,0.1,,,
22.0,100.0,306.0,53952.0,4500.0,14.705882,-200.0,-200.0,3.7345297,0.00960596,0.1,,,
24.0,200.0,338.0,59904.0,5000.0,14.792899,-200.0,-200.0,2.721632,0.00960596,0.1,,,
27.0,100.0,369.0,65856.0,5500.0,14.905149,-200.0,-200.0,5.1118083,0.009509901,0.1,,,
30.0,29.0,402.0,71808.0,6000.0,14.925373,-171.0,-197.58333,5.2334223,0.009509901,0.1,,,
32.0,129.0,439.0,77952.0,6500.0,14.806378,-200.0,-197.76923,2.5962694,0.009414801,0.1,,,
35.0,29.0,482.0,83904.0,7000.0,14.522821,-200.0,-197.92857,5.088441,0.009414801,0.1,,,
37.0,180.0,517.0,89856.0,7500.0,14.50677,-200.0,-198.06667,6.351919,0.009320653,0.1,,,
40.0,80.0,552.0,95808.0,8000.0,14.492754,-200.0,-198.1875,5.4334846,0.009320653,0.1,,,
42.0,180.0,586.0,101952.0,8500.0,14.505119,-200.0,-198.29411,6.0903053,0.009227447,0.1,,,
45.0,80.0,622.0,107904.0,9000.0,14.469454,-200.0,-198.38889,5.5662055,0.009227447,0.1,,,
47.0,180.0,655.0,113856.0,9500.0,14.503817,-200.0,-198.47368,8.789214,0.009135173,0.1,,,
50.0,80.0,692.0,119808.0,10000.0,14.450867,-200.0,-198.55,4.8229938,0.009135173,0.1,,,
52.0,180.0,737.0,125952.0,10500.0,14.246947,-200.0,-198.61905,5.283824,0.009043821,0.1,,,
55.0,80.0,772.0,131904.0,11000.0,14.248705,-200.0,-198.68182,5.619551,0.009043821,0.1,,,
58.0,22.0,813.0,137856.0,11500.0,14.145142,-158.0,-196.91304,10.930068,0.008953382,0.1,,,
60.0,122.0,850.0,143808.0,12000.0,14.117647,-200.0,-197.04167,9.635987,0.008953382,0.1,,,
63.0,22.0,888.0,149952.0,12500.0,14.076576,-200.0,-197.16,7.8835855,0.008863849,0.1,,,
65.0,122.0,924.0,155904.0,13000.0,14.069264,-200.0,-197.26923,7.8390074,0.008863849,0.1,,,
68.0,22.0,958.0,161856.0,13500.0,14.091858,-200.0,-197.37038,10.67588,0.00877521,0.1,,,
70.0,122.0,992.0,167808.0,14000.0,14.112904,-200.0,-197.46428,10.327067,0.00877521,0.1,,,
73.0,22.0,1026.0,173952.0,14500.0,14.132554,-200.0,-197.55173,9.610421,0.008687458,0.1,,,
75.0,122.0,1059.0,179904.0,15000.0,14.164306,-200.0,-197.63333,16.17891,0.008687458,0.1,,,
78.0,22.0,1093.0,185856.0,15500.0,14.181152,-200.0,-197.70967,10.933561,0.008600583,0.1,,,
80.0,122.0,1128.0,191808.0,16000.0,14.184397,-200.0,-197.78125,11.132364,0.008600583,0.1,,,
83.0,22.0,1166.0,197952.0,16500.0,14.150944,-200.0,-197.84848,8.4739065,0.0085145775,0.1,,,
85.0,122.0,1202.0,203904.0,17000.0,14.143095,-200.0,-197.91176,13.152429,0.0085145775,0.1,,,
88.0,22.0,1240.0,209856.0,17500.0,14.112904,-200.0,-197.97144,13.081806,0.008429432,0.1,,,
90.0,122.0,1282.0,215808.0,18000.0,14.040562,-200.0,-198.02777,8.674089,0.008429432,0.1,,,
93.0,35.0,1327.0,221952.0,18500.0,13.941221,-200.0,-198.08109,8.39668,0.008345137,0.1,,,
95.0,135.0,1366.0,227904.0,19000.0,13.909224,-200.0,-198.13158,9.205105,0.008345137,0.1,,,
98.0,35.0,1406.0,233856.0,19500.0,13.869132,-200.0,-198.17949,8.189854,0.008261686,0.1,,,
100.0,135.0,1444.0,239808.0,20000.0,13.850415,-200.0,-198.225,7.5911584,0.008261686,0.1,,,
103.0,35.0,1484.0,245952.0,20500.0,13.814016,-200.0,-198.2683,8.414892,0.0081790695,0.1,,,
