epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,11.0,12096.0,500.0,45.454544,-200.0,-200.0,0.0022414606,0.02,1.0,,,0.029644374
4.0,200.0,22.0,24000.0,1000.0,45.454544,-200.0,-200.0,0.25341725,0.02,1.0,,,0.17165343
7.0,100.0,33.0,36096.0,1500.0,45.454544,-200.0,-200.0,0.11811636,0.0198,1.0,,,0.11741919
9.0,200.0,44.0,48000.0,2000.0,45.454544,-200.0,-200.0,0.9804929,0.0198,1.0,,,0.1637184
12.0,100.0,55.0,60096.0,2500.0,45.454544,-200.0,-200.0,1.7109156,0.019602,1.0,,,0.17089456
14.0,200.0,66.0,72000.0,3000.0,45.454544,-200.0,-200.0,2.2115142,0.019602,1.0,,,0.16777527
17.0,100.0,78.0,84096.0,3500.0,44.871796,-200.0,-200.0,0.40512598,0.01940598,1.0,,,0.11818542
19.0,200.0,89.0,96000.0,4000.0,44.94382,-200.0,-200.0,3.2228832,0.01940598,1.0,,,0.16181794
22.0,100.0,100.0,108096.0,4500.0,45.0,-200.0,-200.0,1.765501,0.01921192,1.0,,,0.13339111
24.0,200.0,112.0,120000.0,5000.0,44.642857,-200.0,-200.0,1.327954,0.01921192,1.0,,,0.16535993
27.0,100.0,124.0,132096.0,5500.0,44.35484,-200.0,-200.0,4.0238676,0.019019801,0.99,,,0.15989418
29.0,200.0,136.0,144000.0,6000.0,44.117645,-200.0,-200.0,4.032367,0.019019801,0.98,,,0.17084852
32.0,100.0,148.0,156096.0,6500.0,43.91892,-200.0,-200.0,0.85699147,0.018829603,0.97,,,0.13332081
34.0,200.0,160.0,168000.0,7000.0,43.75,-200.0,-200.0,6.8429155,0.018829603,0.96,,,0.15373848
37.0,100.0,172.0,180096.0,7500.0,43.604652,-200.0,-200.0,3.4542136,0.018641306,0.95,,,0.15889244
39.0,200.0,186.0,192000.0,8000.0,43.010754,-200.0,-200.0,5.110047,0.018641306,0.94,,,0.1653581
42.0,100.0,199.0,204096.0,8500.0,42.71357,-200.0,-200.0,3.8783507,0.018454894,0.93,,,0.15737389
44.0,200.0,211.0,216000.0,9000.0,42.65403,-200.0,-200.0,4.1167045,0.018454894,0.92,,,0.16403666
47.0,100.0,224.0,228096.0,9500.0,42.410713,-200.0,-200.0,4.5122695,0.018270345,0.91,,,0.16644578
49.0,200.0,238.0,240000.0,10000.0,42.016808,-200.0,-200.0,3.0466156,0.018270345,0.9,,,0.14108974
52.0,100.0,251.0,252096.0,10500.0,41.83267,-200.0,-200.0,4.430088,0.018087642,0.89,,,0.16873752
54.0,200.0,265.0,264000.0,11000.0,41.509434,-200.0,-200.0,5.1636577,0.018087642,0.88,,,0.14475308
57.0,100.0,280.0,276096.0,11500.0,41.07143,-200.0,-200.0,7.257987,0.017906765,0.87,,,0.17018703
59.0,200.0,293.0,288000.0,12000.0,40.95563,-200.0,-200.0,4.172372,0.017906765,0.86,,,0.16020116
62.0,100.0,307.0,300096.0,12500.0,40.716614,-200.0,-200.0,4.177885,0.017727697,0.85,,,0.14835988
64.0,200.0,318.0,312000.0,13000.0,40.880505,-200.0,-200.0,7.025395,0.017727697,0.84,,,0.16445537
67.0,100.0,331.0,324096.0,13500.0,40.7855,-200.0,-200.0,6.998564,0.01755042,0.83,,,0.15716709
69.0,200.0,343.0,336000.0,14000.0,40.816326,-200.0,-200.0,2.2134657,0.01755042,0.82,,,0.1647013
72.0,100.0,355.0,348096.0,14500.0,40.84507,-200.0,-200.0,3.2229466,0.017374916,0.81,,,0.15492415
74.0,200.0,367.0,360000.0,15000.0,40.871933,-200.0,-200.0,5.312555,0.017374916,0.8,,,0.1622629
77.0,100.0,380.0,372096.0,15500.0,40.789474,-200.0,-200.0,10.675485,0.017201167,0.79,,,0.15853411
79.0,200.0,392.0,384000.0,16000.0,40.816326,-200.0,-200.0,5.0635176,0.017201167,0.78,,,0.15339857
82.0,100.0,404.0,396096.0,16500.0,40.841583,-200.0,-200.0,5.138294,0.017029155,0.77,,,0.14683937
84.0,200.0,416.0,408000.0,17000.0,40.865383,-200.0,-200.0,3.3947847,0.017029155,0.76,,,0.15149984
87.0,100.0,428.0,420096.0,17500.0,40.88785,-200.0,-200.0,6.7704153,0.016858865,0.75,,,0.13796486
89.0,200.0,440.0,432000.0,18000.0,40.909092,-200.0,-200.0,9.745921,0.016858865,0.74,,,0.14526108
92.0,100.0,453.0,444096.0,18500.0,40.838852,-200.0,-200.0,5.193341,0.016690275,0.73,,,0.16038053
94.0,200.0,465.0,456000.0,19000.0,40.860214,-200.0,-200.0,4.909849,0.016690275,0.72,,,0.15480329
97.0,100.0,477.0,468096.0,19500.0,40.880505,-200.0,-200.0,6.5895944,0.016523372,0.71,,,0.15986364
99.0,200.0,490.0,480000.0,20000.0,40.816326,-200.0,-200.0,8.227869,0.016523372,0.7,,,0.15746787
102.0,100.0,502.0,492096.0,20500.0,40.836655,-200.0,-200.0,6.638516,0.016358139,0.69,,,0.16549304
104.0,200.0,514.0,504000.0,21000.0,40.85603,-200.0,-200.0,9.740877,0.016358139,0.68,,,0.15527134
107.0,100.0,526.0,516096.0,21500.0,40.874523,-200.0,-200.0,7.659622,0.016194558,0.67,,,0.14131914
109.0,200.0,539.0,528000.0,22000.0,40.816326,-200.0,-200.0,2.9588935,0.016194558,0.66,,,0.16628015
112.0,100.0,551.0,540096.0,22500.0,40.834846,-200.0,-200.0,8.272821,0.016032612,0.65,,,0.14976588
114.0,200.0,564.0,552000.0,23000.0,40.780144,-200.0,-200.0,6.5711823,0.016032612,0.64,,,0.1486114
117.0,100.0,576.0,564096.0,23500.0,40.79861,-200.0,-200.0,4.834281,0.015872285,0.63,,,0.15829928
119.0,200.0,588.0,576000.0,24000.0,40.816326,-200.0,-200.0,5.439883,0.015872285,0.62,,,0.15206513
122.0,100.0,600.0,588096.0,24500.0,40.833332,-200.0,-200.0,10.089575,0.015713563,0.61,,,0.15893267
124.0,200.0,613.0,600000.0,25000.0,40.783035,-200.0,-200.0,11.757055,0.015713563,0.6,,,0.15224518
127.0,100.0,625.0,612096.0,25500.0,40.8,-200.0,-200.0,11.221566,0.015556428,0.59,,,0.16272742
129.0,200.0,638.0,624000.0,26000.0,40.75235,-200.0,-200.0,4.1910205,0.015556428,0.58,,,0.1473776
132.0,100.0,651.0,636096.0,26500.0,40.706604,-200.0,-200.0,8.447713,0.015400863,0.57,,,0.15867674
134.0,200.0,663.0,648000.0,27000.0,40.723984,-200.0,-200.0,10.988573,0.015400863,0.56,,,0.16113551
137.0,100.0,675.0,660096.0,27500.0,40.74074,-200.0,-200.0,5.6345553,0.015246854,0.55,,,0.16090488
139.0,200.0,687.0,672000.0,28000.0,40.756912,-200.0,-200.0,3.0464644,0.015246854,0.54,,,0.15206024
142.0,100.0,700.0,684096.0,28500.0,40.714287,-200.0,-200.0,10.179274,0.0150943855,0.53,,,0.14547044
144.0,200.0,712.0,696000.0,29000.0,40.730335,-200.0,-200.0,1.3937225,0.0150943855,0.52,,,0.15380229
147.0,100.0,724.0,708096.0,29500.0,40.745857,-200.0,-200.0,5.838674,0.014943442,0.51,,,0.15263602
149.0,200.0,736.0,720000.0,30000.0,40.760868,-200.0,-200.0,5.7225556,0.014943442,0.5,,,0.15686835
152.0,100.0,749.0,732096.0,30500.0,40.720963,-200.0,-200.0,7.4979396,0.014794008,0.49,,,0.14300212
154.0,200.0,761.0,744000.0,31000.0,40.735874,-200.0,-200.0,9.641287,0.014794008,0.48,,,0.15849498
157.0,100.0,773.0,756096.0,31500.0,40.750324,-200.0,-200.0,12.052543,0.014646067,0.47,,,0.13581909
159.0,200.0,785.0,768000.0,32000.0,40.76433,-200.0,-200.0,5.6309404,0.014646067,0.46,,,0.13892382
162.0,100.0,797.0,780096.0,32500.0,40.777916,-200.0,-200.0,6.9019423,0.014499607,0.45,,,0.15346318
164.0,200.0,809.0,792000.0,33000.0,40.7911,-200.0,-200.0,6.5990434,0.014499607,0.44,,,0.145203
167.0,100.0,822.0,804096.0,33500.0,40.754257,-200.0,-200.0,13.430753,0.014354611,0.43,,,0.13290979
169.0,200.0,834.0,816000.0,34000.0,40.767387,-200.0,-200.0,12.236567,0.014354611,0.42,,,0.15312389
172.0,100.0,846.0,828096.0,34500.0,40.780144,-200.0,-200.0,7.62359,0.014211064,0.41,,,0.15758812
174.0,200.0,858.0,840000.0,35000.0,40.79254,-200.0,-200.0,12.826389,0.014211064,0.4,,,0.14955616
177.0,100.0,871.0,852096.0,35500.0,40.75775,-200.0,-200.0,13.735977,0.014068954,0.39,,,0.1269164
179.0,200.0,884.0,864000.0,36000.0,40.723984,-200.0,-200.0,5.1902776,0.014068954,0.38,,,0.13290226
182.0,100.0,896.0,876096.0,36500.0,40.736607,-200.0,-200.0,10.613042,0.013928264,0.37,,,0.14562857
184.0,200.0,908.0,888000.0,37000.0,40.748898,-200.0,-200.0,7.1551423,0.013928264,0.36,,,0.15167944
187.0,100.0,921.0,900096.0,37500.0,40.716614,-200.0,-200.0,3.8147545,0.013788981,0.35,,,0.13068514
189.0,200.0,933.0,912000.0,38000.0,40.728832,-200.0,-200.0,3.8492606,0.013788981,0.34,,,0.16296381
192.0,100.0,945.0,924096.0,38500.0,40.74074,-200.0,-200.0,0.17647639,0.013651092,0.33,,,0.08329843
194.0,200.0,957.0,936000.0,39000.0,40.75235,-200.0,-200.0,4.904911,0.013651092,0.32,,,0.14151439
197.0,100.0,970.0,948096.0,39500.0,40.72165,-200.0,-200.0,6.402031,0.013514581,0.31,,,0.13583793
199.0,200.0,982.0,960000.0,40000.0,40.733196,-200.0,-200.0,5.0937486,0.013514581,0.3,,,0.16094434
202.0,100.0,995.0,972096.0,40500.0,40.703518,-200.0,-200.0,7.0631337,0.013379435,0.29,,,0.14163998
