epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,,0.01,,
49.0,200.0,22.0,250.0,10000.0,454.54544,-200.0,-200.0,0.00011546955,0.02,,0.0055,0.00062788674,
99.0,200.0,48.0,500.0,20000.0,416.66666,-200.0,-200.0,4.2974343e-06,0.02,,0.001,4.8900685e-05,
149.0,200.0,66.0,750.0,30000.0,454.54544,-200.0,-200.0,4.8501624e-06,0.02,,0.001,4.7401125e-05,
199.0,200.0,100.0,1000.0,40000.0,400.0,-200.0,-200.0,1.2161993e-05,0.02,,0.001,6.3865984e-05,
249.0,200.0,128.0,1250.0,50000.0,390.625,-200.0,-200.0,1.2679067e-05,0.02,,0.001,6.810362e-05,
299.0,200.0,157.0,1500.0,60000.0,382.16562,-200.0,-200.0,1.1018509e-05,0.02,,0.001,6.0532806e-05,
349.0,200.0,183.0,1750.0,70000.0,382.51367,-200.0,-200.0,1.7482862e-06,0.02,,0.001,6.202874e-06,
399.0,200.0,210.0,2000.0,80000.0,380.9524,-200.0,-200.0,1.9130391e-06,0.02,,0.001,1.1080643e-05,
449.0,200.0,236.0,2250.0,90000.0,381.35593,-200.0,-200.0,2.502301e-06,0.02,,0.001,9.876505e-06,
499.0,200.0,261.0,2500.0,100000.0,383.14175,-200.0,-200.0,1.9243496e-06,0.02,,0.001,6.7777964e-06,
