epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,1.0,,,
2.0,100.0,2.0,4960.0,500.0,250.0,-200.0,-200.0,0.005808796,0.1,0.55,,,
5.0,12.0,4.0,9920.0,1000.0,250.0,-188.0,-194.0,0.022632685,0.1,0.1,,,
7.0,112.0,6.0,14880.0,1500.0,250.0,-200.0,-196.0,0.33649877,0.0999,0.1,,,
10.0,12.0,9.0,19840.0,2000.0,222.22223,-200.0,-197.0,0.0071541658,0.0999,0.1,,,
12.0,112.0,11.0,24960.0,2500.0,227.27272,-200.0,-197.6,0.0053616646,0.0998001,0.1,,,
15.0,12.0,13.0,29920.0,3000.0,230.76923,-200.0,-198.0,0.3798058,0.0998001,0.1,,,
17.0,112.0,15.0,34880.0,3500.0,233.33333,-200.0,-198.28572,0.03855617,0.0997003,0.1,,,
20.0,12.0,17.0,39840.0,4000.0,235.29411,-200.0,-198.5,0.4912259,0.0997003,0.1,,,
22.0,112.0,20.0,44960.0,4500.0,225.0,-200.0,-198.66667,0.00033092318,0.0996006,0.1,,,
25.0,12.0,22.0,49920.0,5000.0,227.27272,-200.0,-198.8,0.0024294863,0.0996006,0.1,,,
27.0,112.0,24.0,54880.0,5500.0,229.16667,-200.0,-198.90909,0.047211293,0.099501,0.1,,,
30.0,12.0,26.0,59840.0,6000.0,230.76923,-200.0,-199.0,0.0012433039,0.099501,0.1,,,
32.0,112.0,29.0,64960.0,6500.0,224.13792,-200.0,-199.07692,0.14602853,0.0994015,0.1,,,
35.0,12.0,31.0,69920.0,7000.0,225.80646,-200.0,-199.14285,0.0031147788,0.0994015,0.1,,,
37.0,112.0,33.0,74880.0,7500.0,227.27272,-200.0,-199.2,2.1315956,0.0993021,0.1,,,
40.0,12.0,36.0,79840.0,8000.0,222.22223,-200.0,-199.25,1.1840328,0.0993021,0.1,,,
42.0,112.0,38.0,84960.0,8500.0,223.6842,-200.0,-199.29411,0.10555886,0.0992028,0.1,,,
45.0,12.0,40.0,89920.0,9000.0,225.0,-200.0,-199.33333,0.14772081,0.0992028,0.1,,,
47.0,112.0,43.0,94880.0,9500.0,220.93024,-200.0,-199.36842,0.095220745,0.09910359,0.1,,,
50.0,12.0,45.0,99840.0,10000.0,222.22223,-200.0,-199.4,0.036484912,0.09910359,0.1,,,
52.0,112.0,47.0,104960.0,10500.0,223.40425,-200.0,-199.42857,0.048343893,0.099004485,0.1,,,
55.0,12.0,50.0,109920.0,11000.0,220.0,-200.0,-199.45454,2.1046824,0.099004485,0.1,,,
57.0,112.0,52.0,114880.0,11500.0,221.15384,-200.0,-199.47826,0.020660955,0.09890548,0.1,,,
60.0,12.0,54.0,119840.0,12000.0,222.22223,-200.0,-199.5,2.2295163,0.09890548,0.1,,,
62.0,112.0,57.0,124960.0,12500.0,219.29825,-200.0,-199.52,2.2861032,0.098806575,0.1,,,
65.0,12.0,59.0,129920.0,13000.0,220.33899,-200.0,-199.53847,3.6565175,0.098806575,0.1,,,
67.0,112.0,62.0,134880.0,13500.0,217.74193,-200.0,-199.55556,2.5217767,0.09870777,0.1,,,
70.0,12.0,64.0,139840.0,14000.0,218.75,-200.0,-199.57143,0.021861332,0.09870777,0.1,,,
72.0,112.0,66.0,144960.0,14500.0,219.69698,-200.0,-199.58621,0.1524862,0.09860906,0.1,,,
75.0,12.0,69.0,149920.0,15000.0,217.39131,-200.0,-199.6,0.17978512,0.09860906,0.1,,,
77.0,112.0,71.0,154880.0,15500.0,218.30986,-200.0,-199.6129,3.057564,0.09851045,0.1,,,
80.0,40.0,74.0,159840.0,16000.0,216.21622,-172.0,-198.75,3.0299258,0.09851045,0.1,,,
82.0,162.0,76.0,164960.0,16500.0,217.10527,-200.0,-198.78787,0.14028081,0.09841195,0.1,,,
85.0,62.0,78.0,169920.0,17000.0,217.94872,-200.0,-198.82353,0.058772463,0.09841195,0.1,,,
87.0,162.0,81.0,174880.0,17500.0,216.04938,-200.0,-198.85715,0.03852437,0.09831353,0.1,,,
90.0,62.0,83.0,179840.0,18000.0,216.86748,-200.0,-198.88889,11.622252,0.09831353,0.1,,,
92.0,162.0,86.0,184960.0,18500.0,215.11627,-200.0,-198.91891,0.20045011,0.09821522,0.1,,,
95.0,62.0,88.0,189920.0,19000.0,215.90909,-200.0,-198.94737,3.1813874,0.09821522,0.1,,,
97.0,162.0,91.0,194880.0,19500.0,214.28572,-200.0,-198.97437,0.08826785,0.098117,0.1,,,
100.0,73.0,93.0,199840.0,20000.0,215.05376,-200.0,-199.0,0.06458381,0.098117,0.1,,,
102.0,173.0,95.0,204960.0,20500.0,215.78947,-200.0,-199.02438,4.58503,0.098018885,0.1,,,
105.0,73.0,97.0,209920.0,21000.0,216.49484,-200.0,-199.04762,0.082866,0.098018885,0.1,,,
108.0,25.0,100.0,214880.0,21500.0,215.0,-200.0,-199.06976,0.028243365,0.097920865,0.1,,,
110.0,125.0,102.0,219840.0,22000.0,215.68628,-200.0,-199.09091,0.063165486,0.097920865,0.1,,,
113.0,25.0,104.0,224960.0,22500.0,216.34616,-200.0,-199.11111,0.05986165,0.09782295,0.1,,,
115.0,125.0,107.0,229920.0,23000.0,214.95328,-200.0,-199.13043,9.800965,0.09782295,0.1,,,
118.0,25.0,109.0,234880.0,23500.0,215.59633,-200.0,-199.14894,0.12525365,0.09772512,0.1,,,
